3/14 09:02:22.406  Client Initialize.
3/14 09:02:30.083  Initial Hotfixes: Requested
3/14 09:02:30.446  Initial Hotfixes: Received
3/14 09:02:31.129  Initial Hotfixes: Applied
3/14 09:02:33.439  Loading Screen Enable : 1 - 1
3/14 09:02:36.007  Client Object Manager Initialized: 1
3/14 09:02:36.341  Succesfully Registered Nameplate

3/14 09:02:36.343  Loading Screen : Loading : Files Read 1356 : Bytes Read 582055671 : Elapsed MS 2903 : MBytes Per Sec 191.213
3/14 09:02:36.343  Loading Screen : XML Loaded 0%
3/14 09:02:38.382  Loading Screen : Loading : Files Read 282 : Bytes Read 9610820 : Elapsed MS 2040 : MBytes Per Sec 4.493
3/14 09:02:38.382  Loading Screen : XML Loaded 99%
3/14 09:02:39.293  Client : Load Map Begin : 1
3/14 09:02:40.433  Loading Screen : Loading : Files Read 288 : Bytes Read 71227562 : Elapsed MS 2052 : MBytes Per Sec 33.103
3/14 09:02:40.433  Loading Screen : XML Loaded 100%
3/14 09:02:40.433  Loading Screen : World Loaded 6%
3/14 09:02:42.470  Loading Screen : Loading : Files Read 752 : Bytes Read 180757813 : Elapsed MS 2037 : MBytes Per Sec 84.626
3/14 09:02:42.470  Loading Screen : XML Loaded 100%
3/14 09:02:42.470  Loading Screen : World Loaded 60%
3/14 09:02:43.601  Client : Load Map End
3/14 09:02:43.603  Start waiting for active player
3/14 09:02:43.603  Character Login SEND
3/14 09:02:43.621  Waiting for active player: 18 ms
3/14 09:02:45.840  Stop waiting for active player
3/14 09:02:45.858  Loading Screen : Loading : Files Read 2295 : Bytes Read 176173969 : Elapsed MS 3388 : MBytes Per Sec 49.590
3/14 09:02:45.858  Loading Screen : XML Loaded 100%
3/14 09:02:45.858  Loading Screen : World Loaded 100%
3/14 09:02:45.858  Loading Screen : Spell Loaded 0%
3/14 09:02:50.784  Active Player Created
3/14 09:02:50.784  Player : Exit Loading Screen : World Check Preload Begin
3/14 09:02:50.784  Player : Exit Loading Screen : World Check Preload End
3/14 09:02:50.784  Loading Screen : Streaming 0
3/14 09:02:50.784  Loading Screen : XML Loaded 100%
3/14 09:02:50.784  Loading Screen : World Loaded 100%
3/14 09:02:50.784  Loading Screen : Spell Loaded 100%
3/14 09:02:50.784  Loading Screen Disable
3/14 09:02:50.784  Spellbook : Make Models Local Begin : 209
3/14 09:02:50.787  Spellbook : Make Models Local End
3/14 09:03:28.785  Loading Screen Enable : 1643 - 1
3/14 09:03:30.716  Stop waiting for active player
3/14 09:03:30.741  Client Object Manager Destroyed
3/14 09:03:30.775  Client Object Manager Initialized: 1643
3/14 09:03:30.775  Client : Load Map Begin : 1643
3/14 09:03:30.879  Loading Screen : Loading : Files Read 3340 : Bytes Read 303084263 : Elapsed MS 2108 : MBytes Per Sec 137.117
3/14 09:03:32.928  Loading Screen : Loading : Files Read 2591 : Bytes Read 173061070 : Elapsed MS 2050 : MBytes Per Sec 80.509
3/14 09:03:32.928  Loading Screen : World Loaded 61%
3/14 09:03:34.963  Loading Screen : Loading : Files Read 975 : Bytes Read 114517142 : Elapsed MS 2035 : MBytes Per Sec 53.667
3/14 09:03:34.963  Loading Screen : World Loaded 61%
3/14 09:03:36.160  Client : Load Map End
3/14 09:03:36.160  Start waiting for active player
3/14 09:03:36.160  New World Handler : Send World Port Response
3/14 09:03:36.161  Waiting for active player: 1 ms
3/14 09:03:37.237  Stop waiting for active player
3/14 09:03:37.252  Loading Screen : Loading : Files Read 1015 : Bytes Read 85645394 : Elapsed MS 2289 : MBytes Per Sec 35.683
3/14 09:03:37.252  Loading Screen : World Loaded 100%
3/14 09:03:37.639  Active Player Created
3/14 09:03:37.639  Player : Exit Loading Screen : World Check Preload Begin
3/14 09:03:37.639  Player : Exit Loading Screen : World Check Preload End
3/14 09:03:37.639  Loading Screen : Streaming 0
3/14 09:03:37.639  Loading Screen : World Loaded 100%
3/14 09:03:37.639  Loading Screen Disable
3/14 09:03:37.639  Spellbook : Make Models Local Begin : 209
3/14 09:03:37.642  Spellbook : Make Models Local End
3/14 09:06:12.706  Stop waiting for active player
3/14 09:06:12.716  Client Object Manager Destroyed
3/14 09:06:12.778  Nameplate Shutting Down

3/14 09:06:13.473  Client Destroy
