3/14 09:02:20.928  ---- Startup ----
3/14 09:02:30.072  ---- ClientAvailableHotfixes ----
3/14 09:02:30.072      50980, SpellEffect
3/14 09:02:30.072      50981, QuestV2CliTask
3/14 09:02:30.072      50981, QuestV2
3/14 09:02:30.072      50982, GameTips
3/14 09:02:30.072      50984, PlayerCondition
3/14 09:02:30.072      50984, Item
3/14 09:02:30.072      50984, ItemSparse
3/14 09:02:30.072      50984, TradeSkillItem
3/14 09:02:30.072      50984, ItemSearchName
3/14 09:02:30.072      50984, PlayerCondition
3/14 09:02:30.072      50984, TransmogHoliday
3/14 09:02:30.072      50984, PlayerCondition
3/14 09:02:30.072      50984, ItemSearchName
3/14 09:02:30.072      50984, Item
3/14 09:02:30.072      50984, ItemSparse
3/14 09:02:30.072      50984, ItemSearchName
3/14 09:02:30.072      50984, TradeSkillItem
3/14 09:02:30.072      50984, TransmogHoliday
3/14 09:02:30.072      50984, TransmogHoliday
3/14 09:02:30.072      50984, TransmogHoliday
3/14 09:02:30.072      50984, TradeSkillItem
3/14 09:02:30.072      50984, ItemSparse
3/14 09:02:30.072      50984, ItemSearchName
3/14 09:02:30.072      50984, Item
3/14 09:02:30.072      50984, TradeSkillItem
3/14 09:02:30.072      50984, Item
3/14 09:02:30.072      50984, ItemSparse
3/14 09:02:30.072      50985, SpellEffect
3/14 09:02:30.072      50986, SpellMisc
3/14 09:02:30.072      50989, SpellEffect
3/14 09:02:30.072      50989, SpellMisc
3/14 09:02:30.072      50989, SpellVisual
3/14 09:02:30.072      50989, SpellInterrupts
3/14 09:02:30.072      50989, SpellVisualEvent
3/14 09:02:30.072      50990, SpellAuraRestrictions
3/14 09:02:30.072      50990, PlayerCondition
3/14 09:02:30.072      50990, SpellAuraRestrictions
3/14 09:02:30.072      50990, SpellName
3/14 09:02:30.072      50990, Spell
3/14 09:02:30.072      50990, SpellEffect
3/14 09:02:30.072      50990, SpellAuraRestrictions
3/14 09:02:30.072      50990, SpellMisc
3/14 09:02:30.072      50990, UnitCondition
3/14 09:02:30.072      50990, SpellEffect
3/14 09:02:30.072      50990, SpellAuraRestrictions
3/14 09:02:30.072      50990, AreaTriggerActionSet
3/14 09:02:30.072      50990, Spell
3/14 09:02:30.072      50990, SpellInterrupts
3/14 09:02:30.072      50990, SpellMisc
3/14 09:02:30.072      50990, SpellName
3/14 09:02:30.072      50990, CreatureDifficulty
